ID,Module,API_Endpoint,Tên_Test_Case,Input_Đầu_vào,Expected_Status,Expected_DB_State,Mức_độ_ưu_tiên
26,Auth,POST /api/v1/auth/reset-password,Đặt lại mật khẩu thất bại do thiếu tham số,"thiếu token hoặc password mới",400 Bad Request,"Không thay đổi",Medium
27,Auth,POST /api/v1/auth/verify-email,Xác thực email thành công,"mã OTP hợp lệ, email khớp",200 OK,"Cập nhật status user thành ACTIVE, xóa OTP",High
28,Auth,POST /api/v1/auth/verify-email,Xác thực thất bại do OTP sai,"OTP không đúng",400 Bad Request,"Không thay đổi",High
29,Auth,POST /api/v1/auth/verify-email,Xác thực thất bại do OTP hết hạn,"OTP đã quá thời gian (VD 15 phút)",400 Bad Request,"Không thay đổi",High
30,Auth,POST /api/v1/auth/verify-email,Xác thực thất bại do tài khoản đã active từ trước,"user status=ACTIVE",400 Bad Request,"Không thay đổi",Medium
31,Auth,POST /api/v1/auth/google-login,Đăng nhập Google thành công (user mới),"Google ID Token hợp lệ, email chưa có trong DB",200 OK,"Tạo mới User vào DB (Google Auth)",High
32,Auth,POST /api/v1/auth/google-login,Đăng nhập Google thành công (user cũ),"Google ID Token hợp lệ, email đã có trong DB",200 OK,"Không tạo mới, chỉ trả về Token",High
33,Auth,POST /api/v1/auth/google-login,Đăng nhập Google thất bại do ID Token sai/hết hạn,"ID Token giả mạo hoặc hết hạn",401 Unauthorized,"Không thay đổi",High
34,Auth,POST /api/v1/auth/google-login,Đăng nhập Google thất bại do thiếu ID Token,"bỏ trống token",400 Bad Request,"Không thay đổi",Medium
35,User,GET /api/v1/users/me,Lấy thông tin profile thành công,"Header có Access Token hợp lệ",200 OK,"Không thay đổi",High
36,User,GET /api/v1/users/me,Lấy profile thất bại do token hết hạn/sai,"Token sai",401 Unauthorized,"Không thay đổi",High
37,User,GET /api/v1/users/me,Lấy profile thất bại do không gửi token,"Không có header Authorization",401 Unauthorized,"Không thay đổi",High
38,User,PUT /api/v1/users/me,Cập nhật thông tin profile thành công,"Token hợp lệ, dữ liệu (name, phone, bio) hợp lệ",200 OK,"Bản ghi User được cập nhật các field tương ứng",High
39,User,PUT /api/v1/users/me,Cập nhật thất bại do gửi data sai định dạng,"phone = ""abc""",400 Bad Request,"Không thay đổi",Medium
40,User,PUT /api/v1/users/me,Bảo mật: Không cho phép tự ý cập nhật ROLE,"Truyền thêm role=""ADMIN""",200 OK,"Cập nhật thông tin khác, nhưng ROLE vẫn giữ nguyên",High
41,User,PUT /api/v1/users/me/password,Đổi mật khẩu thành công từ trong profile,"old_password đúng, new_password mạnh",200 OK,"Cập nhật password mới trong DB",High
42,User,PUT /api/v1/users/me/password,Đổi mật khẩu thất bại do sai mật khẩu cũ,"old_password sai",400 Bad Request,"Không thay đổi",High
43,User,PUT /api/v1/users/me/password,Đổi mật khẩu thất bại do mật khẩu mới quá yếu,"new_password=""123""",400 Bad Request,"Không thay đổi",Medium
44,User,PUT /api/v1/users/me/password,Đổi mật khẩu thất bại do mật khẩu mới giống mật khẩu cũ,"new_password = old_password",400 Bad Request,"Không thay đổi",Low
45,User,PUT /api/v1/users/me/avatar,Upload avatar thành công,"File ảnh hợp lệ (jpg/png), kích thước < 5MB",200 OK,"Cập nhật URL avatar vào bản ghi User",High
46,User,PUT /api/v1/users/me/avatar,Upload avatar thất bại do file quá lớn,"File ảnh > 5MB",413 Payload Too Large,"Không thay đổi",Medium
47,User,PUT /api/v1/users/me/avatar,Upload avatar thất bại do sai định dạng file,"File PDF hoặc EXE",415 Unsupported Media Type,"Không thay đổi",High
48,User,GET /api/v1/users/{id},Xem thông tin công khai của User khác thành công,"id tồn tại",200 OK,"Không thay đổi",Medium
49,User,GET /api/v1/users/{id},Xem thông tin thất bại do id không tồn tại,"id = 999999",404 Not Found,"Không thay đổi",Medium
50,User,GET /api/v1/users/{id},Xem thông tin thất bại do truyền sai kiểu id,"id = ""abc""",400 Bad Request,"Không thay đổi",Low
51,Event,GET /api/v1/events,Lấy danh sách sự kiện có phân trang thành công,"page=0, size=10",200 OK,"Không thay đổi",High
52,Event,GET /api/v1/events,Lọc danh sách sự kiện theo keyword thành công,"keyword=""workshop""",200 OK,"Không thay đổi",Medium
53,Event,GET /api/v1/events,Lấy danh sách sự kiện với page vượt quá giới hạn,"page=9999, size=10",200 OK,"Trả về mảng rỗng",Low
54,Event,GET /api/v1/events,Lấy danh sách sự kiện thất bại do size không hợp lệ,"size=-1",400 Bad Request,"Không thay đổi",Low
55,Event,POST /api/v1/events,Tạo sự kiện mới thành công (Admin),"Header Token của Admin, Payload event hợp lệ",201 Created,"Tạo 1 bản ghi mới trong bảng events",High
56,Event,POST /api/v1/events,Tạo sự kiện thất bại do không có quyền (User thường),"Header Token của User thường",403 Forbidden,"Không thay đổi",High
57,Event,POST /api/v1/events,Tạo sự kiện thất bại do thiếu trường bắt buộc,"Bỏ trống title hoặc start_time",400 Bad Request,"Không thay đổi",High
58,Event,POST /api/v1/events,Tạo sự kiện thất bại do logic thời gian sai,"end_time trước start_time",400 Bad Request,"Không thay đổi",High
59,Event,GET /api/v1/events/{id},Xem chi tiết sự kiện thành công,"id hợp lệ",200 OK,"Không thay đổi",High
60,Event,GET /api/v1/events/{id},Xem chi tiết sự kiện thất bại do không tìm thấy,"id không tồn tại",404 Not Found,"Không thay đổi",High
61,Event,POST /api/v1/events/{id}/join,Đăng ký tham gia sự kiện thành công,"id sự kiện hợp lệ, Token user hợp lệ",200 OK,"Tạo 1 bản ghi trong bảng event_attendees",High
62,Event,POST /api/v1/events/{id}/join,Đăng ký tham gia thất bại do sự kiện đã kín chỗ,"sự kiện max_participants đã đạt đỉnh",400 Bad Request,"Không thay đổi",High
63,Event,POST /api/v1/events/{id}/join,Đăng ký tham gia thất bại do đã đăng ký trước đó,"user đã có tên trong event_attendees",409 Conflict,"Không thay đổi",Medium
64,Event,POST /api/v1/events/{id}/join,Đăng ký tham gia thất bại do sự kiện đã diễn ra,"sự kiện có status=COMPLETED",400 Bad Request,"Không thay đổi",Medium
65,Event,DELETE /api/v1/events/{id}/join,Hủy đăng ký tham gia sự kiện thành công,"id sự kiện hợp lệ, Token user hợp lệ",200 OK,"Xóa bản ghi tương ứng trong event_attendees",High
66,Event,DELETE /api/v1/events/{id}/join,Hủy đăng ký thất bại do chưa từng đăng ký,"user chưa có tên trong event_attendees",404 Not Found,"Không thay đổi",Medium
67,Event,DELETE /api/v1/events/{id}/join,Hủy đăng ký thất bại do sự kiện đang/đã diễn ra,"sự kiện có start_time trong quá khứ",400 Bad Request,"Không thay đổi",Medium
68,Mentorship,GET /api/v1/mentors,Lấy danh sách Mentor thành công,"page=0, size=10",200 OK,"Không thay đổi",High
69,Mentorship,GET /api/v1/mentors,Lọc danh sách Mentor theo kỹ năng (skill),"skill_id hợp lệ",200 OK,"Không thay đổi",Medium
70,Mentorship,POST /api/v1/mentorship/cv,Nộp CV đăng ký làm Mentor thành công,"File PDF hợp lệ, Token user",201 Created,"Tạo bản ghi trong mentorship_cvs status=PENDING",High
71,Mentorship,POST /api/v1/mentorship/cv,Nộp CV thất bại do sai định dạng,"File hình ảnh thay vì PDF",400 Bad Request,"Không thay đổi",Medium
72,Mentorship,POST /api/v1/mentorship/cv,Nộp CV thất bại do đã nộp và đang chờ duyệt,"User đã có CV PENDING",409 Conflict,"Không thay đổi",Medium
73,Mentorship,POST /api/v1/mentorship/cv,Nộp CV thất bại do đã là Mentor,"User có role MENTOR",400 Bad Request,"Không thay đổi",Low
74,Mentorship,POST /api/v1/mentorship/requests,Gửi yêu cầu Mentor thành công,"mentor_id hợp lệ, nội dung yêu cầu hợp lệ",201 Created,"Tạo bản ghi trong mentorship_requests status=PENDING",High
75,Mentorship,POST /api/v1/mentorship/requests,Gửi yêu cầu thất bại do Mentor không tồn tại,"mentor_id không tồn tại",404 Not Found,"Không thay đổi",High
76,Mentorship,POST /api/v1/mentorship/requests,Gửi yêu cầu thất bại do tự yêu cầu chính mình,"mentor_id = user_id",400 Bad Request,"Không thay đổi",Medium
77,Mentorship,POST /api/v1/mentorship/requests,Gửi yêu cầu thất bại do đã có yêu cầu PENDING với Mentor này,"Đã gửi trước đó",409 Conflict,"Không thay đổi",Medium
78,Mentorship,PUT /api/v1/mentorship/requests/{id}/status,Mentor chấp nhận yêu cầu thành công,"id yêu cầu, status=ACCEPTED, Token của Mentor",200 OK,"Cập nhật status, tạo record session",High
79,Mentorship,PUT /api/v1/mentorship/requests/{id}/status,Mentor từ chối yêu cầu thành công,"id yêu cầu, status=REJECTED, Token của Mentor",200 OK,"Cập nhật status=REJECTED",High
80,Mentorship,PUT /api/v1/mentorship/requests/{id}/status,Cập nhật trạng thái thất bại do không phải Mentor của yêu cầu này,"Token của Mentor khác",403 Forbidden,"Không thay đổi",High
81,Mentorship,PUT /api/v1/mentorship/requests/{id}/status,Cập nhật trạng thái thất bại do yêu cầu không còn ở trạng thái PENDING,"Yêu cầu đã ACCEPTED",400 Bad Request,"Không thay đổi",Medium
82,Mentorship,GET /api/v1/mentorship/sessions,Lấy danh sách Mentorship Sessions của bản thân,"Token User hợp lệ",200 OK,"Không thay đổi",Medium
83,Article,GET /api/v1/news,Lấy danh sách tin tức thành công,"page=0, size=10",200 OK,"Không thay đổi",High
84,Article,GET /api/v1/news,Lấy danh sách tin tức thất bại do size < 1,"size=0",400 Bad Request,"Không thay đổi",Low
85,Article,GET /api/v1/news/{id},Xem chi tiết tin tức thành công,"id hợp lệ",200 OK,"Không thay đổi, tăng view_count",High
86,Article,GET /api/v1/news/{id},Xem chi tiết thất bại do không tìm thấy,"id không tồn tại",404 Not Found,"Không thay đổi",High
87,Article,POST /api/v1/news,Tạo tin tức mới thành công (Admin),"Token Admin, Payload hợp lệ",201 Created,"Tạo bản ghi trong articles",High
88,Article,POST /api/v1/news,Tạo tin tức thất bại do không có quyền,"Token User thường",403 Forbidden,"Không thay đổi",High
89,Article,POST /api/v1/news,Tạo tin tức thất bại do thiếu tiêu đề,"Bỏ trống title",400 Bad Request,"Không thay đổi",Medium
90,Article,PUT /api/v1/news/{id},Cập nhật tin tức thành công (Admin),"id hợp lệ, Token Admin",200 OK,"Cập nhật bản ghi tương ứng",Medium
91,Article,DELETE /api/v1/news/{id},Xóa tin tức thành công (Admin),"id hợp lệ, Token Admin",200 OK,"Xóa bản ghi (hoặc soft delete)",Medium
92,Article,POST /api/v1/news/{id}/like,Like tin tức thành công,"id hợp lệ, Token User",200 OK,"Tạo bản ghi trong article_likes",High
93,Article,POST /api/v1/news/{id}/like,Like tin tức thất bại do id không tồn tại,"id không tồn tại",404 Not Found,"Không thay đổi",Medium
94,Article,DELETE /api/v1/news/{id}/like,Unlike tin tức thành công,"id hợp lệ, Token User đã like trước đó",200 OK,"Xóa bản ghi trong article_likes",High
95,Article,DELETE /api/v1/news/{id}/like,Unlike tin tức thất bại do chưa từng like,"User chưa like",404 Not Found,"Không thay đổi",Low
96,Article,GET /api/v1/jobs,Lấy danh sách việc làm thành công,"page=0, size=10",200 OK,"Không thay đổi",High
97,Article,POST /api/v1/jobs,Đăng tin tuyển dụng thành công,"Token hợp lệ, Payload job hợp lệ",201 Created,"Tạo bản ghi trong jobs",High
98,Article,POST /api/v1/jobs,Đăng tin tuyển dụng thất bại do thiếu mức lương,"Bỏ trống salary_range",400 Bad Request,"Không thay đổi",Medium
99,Article,PUT /api/v1/jobs/{id}/approve,Duyệt tin tuyển dụng thành công (Admin),"id hợp lệ, Token Admin",200 OK,"Cập nhật status=APPROVED",High
100,Article,PUT /api/v1/jobs/{id}/approve,Duyệt tin thất bại do không có quyền,"Token User thường",403 Forbidden,"Không thay đổi",High
101,Forum,GET /api/v1/forum/posts,Lấy danh sách bài viết diễn đàn thành công,"page=0, size=10",200 OK,"Không thay đổi",High
102,Forum,GET /api/v1/forum/posts,Lấy danh sách bài viết theo category thành công,"category_id hợp lệ",200 OK,"Không thay đổi",Medium
103,Forum,POST /api/v1/forum/posts,Tạo bài viết diễn đàn mới thành công,"Token hợp lệ, title và content hợp lệ",201 Created,"Tạo 1 bản ghi trong forum_posts",High
104,Forum,POST /api/v1/forum/posts,Tạo bài viết thất bại do chứa từ ngữ bị cấm (Spam/Toxic),"content chứa từ cấm",400 Bad Request,"Không thay đổi",High
105,Forum,POST /api/v1/forum/posts,Tạo bài viết thất bại do thiếu content,"Bỏ trống nội dung",400 Bad Request,"Không thay đổi",Medium
106,Forum,GET /api/v1/forum/posts/{id},Xem chi tiết bài viết thành công,"id hợp lệ",200 OK,"Không thay đổi",High
107,Forum,GET /api/v1/forum/posts/{id},Xem chi tiết bài viết thất bại do không tìm thấy,"id không tồn tại",404 Not Found,"Không thay đổi",High
108,Forum,POST /api/v1/forum/posts/{id}/comments,Đăng bình luận vào bài viết thành công,"id hợp lệ, nội dung comment",201 Created,"Tạo 1 bản ghi trong forum_comments",High
109,Forum,POST /api/v1/forum/posts/{id}/comments,Đăng bình luận thất bại do bài viết đã bị khóa (Locked),"id của bài viết status=LOCKED",403 Forbidden,"Không thay đổi",High
110,Forum,DELETE /api/v1/forum/posts/comments/{commentId},Xóa bình luận thành công (Chính chủ),"commentId hợp lệ, Token của người tạo",200 OK,"Xóa (hoặc ẩn) bản ghi trong forum_comments",Medium
111,Forum,DELETE /api/v1/forum/posts/comments/{commentId},Xóa bình luận thất bại do không phải chủ sở hữu,"Token của người khác",403 Forbidden,"Không thay đổi",High
112,Forum,DELETE /api/v1/forum/posts/{id},Xóa bài viết diễn đàn thành công (Chính chủ),"id hợp lệ, Token của người tạo",200 OK,"Xóa (hoặc ẩn) bản ghi forum_posts và comments liên quan",Medium
113,Forum,DELETE /api/v1/forum/posts/{id},Xóa bài viết diễn đàn thành công (Admin),"id hợp lệ, Token của Admin",200 OK,"Xóa bản ghi",High
114,Forum,POST /api/v1/forum/posts/{id}/like,Thả tim bài viết thành công,"id hợp lệ, Token hợp lệ",200 OK,"Tạo bản ghi trong forum_post_likes",High
115,Forum,DELETE /api/v1/forum/posts/{id}/like,Bỏ thả tim bài viết thành công,"id hợp lệ",200 OK,"Xóa bản ghi forum_post_likes",Medium
116,Fundraising,GET /api/v1/funds,Lấy danh sách chiến dịch gây quỹ thành công,"page=0, size=10",200 OK,"Không thay đổi",High
117,Fundraising,POST /api/v1/funds,Tạo chiến dịch gây quỹ mới (Admin),"Token Admin, target_amount hợp lệ",201 Created,"Tạo bản ghi trong funds",High
118,Fundraising,POST /api/v1/funds,Tạo chiến dịch thất bại do target_amount âm,"target_amount = -100",400 Bad Request,"Không thay đổi",Medium
119,Fundraising,GET /api/v1/funds/{id},Xem chi tiết chiến dịch và tổng số tiền đã gom,"id hợp lệ",200 OK,"Không thay đổi",High
120,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý Webhook SePay thành công (Giao dịch thật),"Payload chuẩn từ SePay, có API_KEY",200 OK,"Tạo bản ghi donation, cộng điểm cho User",High
121,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý Webhook thất bại do sai API_KEY (Giả mạo),"Payload sai SePay API_KEY trong header",401 Unauthorized,"Không thay đổi (Bảo vệ hệ thống)",High
122,Fundraising,POST /api/v1/funds/webhook/sepay,Bỏ qua giao dịch chuyển tiền ra (Transfer out),"Payload SePay loại rút tiền (transfer_out)",200 OK,"Bỏ qua, Không ghi nhận là donation",Medium
123,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý Webhook trùng lặp (Idempotency),"Gửi lại Payload của giao dịch cũ",200 OK,"Không ghi đè, phát hiện trùng lặp transaction_id",High
124,Fundraising,GET /api/v1/funds/{id}/donations,Lấy danh sách người đã quyên góp,"id quỹ hợp lệ",200 OK,"Không thay đổi",Medium
125,Fundraising,GET /api/v1/funds/donations/my,Lấy lịch sử quyên góp của bản thân,"Token hợp lệ",200 OK,"Không thay đổi",Medium
126,Chat,GET /api/v1/chat/conversations,Lấy danh sách các cuộc hội thoại thành công,"Token hợp lệ",200 OK,"Không thay đổi",High
127,Chat,POST /api/v1/chat/conversations,Tạo cuộc hội thoại 1-1 thành công,"Token hợp lệ, recipient_id hợp lệ",201 Created,"Tạo bản ghi trong chat_conversations",High
128,Chat,POST /api/v1/chat/conversations,Tạo hội thoại thất bại do recipient_id không tồn tại,"recipient_id ảo",404 Not Found,"Không thay đổi",Medium
129,Chat,POST /api/v1/chat/conversations,Tạo hội thoại thất bại do User đang bị chặn (Block),"recipient_id đã block User này",403 Forbidden,"Không thay đổi",High
130,Chat,POST /api/v1/chat/conversations/{id}/messages,Gửi tin nhắn mới thành công,"conversation_id hợp lệ, content hợp lệ",201 Created,"Tạo bản ghi trong chat_messages",High
131,Chat,POST /api/v1/chat/conversations/{id}/messages,Gửi tin nhắn thất bại do không thuộc hội thoại này,"Token của người ngoài",403 Forbidden,"Không thay đổi",High
132,Chat,POST /api/v1/chat/conversations/{id}/messages,Gửi tin nhắn thất bại do nội dung quá dài,"content > 5000 ký tự",400 Bad Request,"Không thay đổi",Medium
133,Chat,GET /api/v1/chat/conversations/{id}/messages,Lấy lịch sử tin nhắn trong hội thoại thành công,"conversation_id hợp lệ, page=0",200 OK,"Không thay đổi",High
134,Chat,PUT /api/v1/chat/messages/{messageId}/read,Đánh dấu tin nhắn đã đọc thành công,"messageId hợp lệ",200 OK,"Cập nhật is_read = true",Medium
135,Chat,POST /api/v1/chat/block,Chặn người dùng (Block) thành công,"Token hợp lệ, target_user_id hợp lệ",200 OK,"Tạo bản ghi trong user_blocks",High
136,Organization,GET /api/v1/organizations,Lấy danh sách các tổ chức/khoa/hội thành công,"page=0, size=10",200 OK,"Không thay đổi",High
137,Organization,POST /api/v1/organizations,Tạo tổ chức mới thành công (Admin),"Token Admin, tên tổ chức hợp lệ",201 Created,"Tạo bản ghi trong organizations",High
138,Organization,POST /api/v1/organizations/{id}/join,Gia nhập tổ chức thành công,"id hợp lệ, Token User",200 OK,"Tạo bản ghi trong organization_members",Medium
139,Organization,DELETE /api/v1/organizations/{id}/leave,Rời khỏi tổ chức thành công,"id hợp lệ, User đã join trước đó",200 OK,"Xóa bản ghi organization_members",Medium
140,Survey,GET /api/v1/surveys,Lấy danh sách bài khảo sát đang mở,"Token User",200 OK,"Không thay đổi",High
141,Survey,POST /api/v1/surveys,Tạo bài khảo sát mới (Admin),"Token Admin, chứa danh sách câu hỏi json",201 Created,"Tạo records trong surveys và survey_questions",High
142,Survey,POST /api/v1/surveys/{id}/responses,Gửi kết quả khảo sát thành công,"id hợp lệ, answers hợp lệ",201 Created,"Tạo records trong survey_responses",High
143,Survey,POST /api/v1/surveys/{id}/responses,Gửi khảo sát thất bại do bài khảo sát đã đóng,"survey status=CLOSED",400 Bad Request,"Không thay đổi",High
144,Survey,POST /api/v1/surveys/{id}/responses,Gửi khảo sát thất bại do thiếu câu hỏi bắt buộc,"answers thiếu câu required",400 Bad Request,"Không thay đổi",Medium
145,Survey,GET /api/v1/surveys/{id}/results,Xem kết quả khảo sát (Admin),"id hợp lệ, Token Admin",200 OK,"Không thay đổi",High
146,Admin,GET /api/v1/admin/dashboard/stats,Lấy thống kê tổng quan (Dashboard) thành công,"Token Admin",200 OK,"Không thay đổi",Medium
147,Admin,GET /api/v1/admin/users,Lấy danh sách toàn bộ User (Admin),"Token Admin",200 OK,"Không thay đổi",Medium
148,Admin,PUT /api/v1/admin/users/{id}/ban,Khóa tài khoản User (Ban),"id hợp lệ, Token Admin",200 OK,"Cập nhật status=BANNED",High
149,Admin,PUT /api/v1/admin/users/{id}/unban,Mở khóa tài khoản User (Unban),"id hợp lệ, Token Admin",200 OK,"Cập nhật status=ACTIVE",High
150,Admin,DELETE /api/v1/admin/users/{id},Xóa User thất bại do quy tắc cấm xóa cứng (Soft Delete Only),"Thử hard delete",405 Method Not Allowed,"Không thay đổi (bảo toàn dữ liệu)",High
151,Admin,PUT /api/v1/admin/alumni-requests/{id}/approve,Duyệt xác thực Cựu Sinh Viên thành công,"id request, Token Admin",200 OK,"Cập nhật request status=APPROVED, user role=ALUMNI",High
152,Admin,PUT /api/v1/admin/alumni-requests/{id}/approve,Duyệt xác thực thất bại do request đã xử lý,"request status không phải PENDING",400 Bad Request,"Không thay đổi",High
153,Admin,PUT /api/v1/admin/alumni-requests/{id}/reject,Từ chối xác thực Cựu Sinh Viên,"id request, lý do từ chối",200 OK,"Cập nhật request status=REJECTED",Medium
154,Admin,GET /api/v1/admin/education-requests,Lấy danh sách yêu cầu cập nhật học vấn,"Token Admin, page=0",200 OK,"Không thay đổi",Medium
155,Admin,PUT /api/v1/admin/education-requests/{id}/approve,Duyệt thông tin học vấn mới của User,"id request, Token Admin",200 OK,"Cập nhật status, thêm bản ghi vào education_histories",High
156,Admin,GET /api/v1/admin/audit-logs,Lấy danh sách nhật ký hệ thống (Audit Logs),"Token Admin",200 OK,"Không thay đổi",Medium
157,Admin,GET /api/v1/admin/audit-logs,Lọc Audit Logs theo module,"module=""AUTH""",200 OK,"Không thay đổi",Low
158,Shared,POST /api/v1/files/upload,Upload file chung thành công,"File ảnh hợp lệ, <5MB",201 Created,"Lưu file, trả về URL",High
159,Shared,POST /api/v1/files/upload,Upload file thất bại do dung lượng quá lớn,"File video > 50MB",413 Payload Too Large,"Không thay đổi",High
160,Shared,POST /api/v1/files/upload,Upload file thất bại do định dạng bị cấm,"File .sh hoặc .exe",415 Unsupported Media Type,"Không thay đổi",High
161,Shared,GET /api/v1/files/{filename},Xem file/ảnh thành công,"filename tồn tại",200 OK,"Trả về byte stream",High
162,Shared,GET /api/v1/files/{filename},Xem file thất bại do không tìm thấy,"filename ảo",404 Not Found,"Không thay đổi",Medium
163,Shared,GET /api/v1/health,Kiểm tra trạng thái server (Health Check),"Không cần token",200 OK,"Không thay đổi",Low
164,Article,POST /api/v1/saved-items,Lưu bài viết/tin tức/việc làm thành công,"item_id, item_type=""JOB""",200 OK,"Tạo bản ghi trong saved_items",Medium
165,Article,POST /api/v1/saved-items,Lưu thất bại do item không tồn tại,"item_id ảo",404 Not Found,"Không thay đổi",Medium
166,Article,DELETE /api/v1/saved-items/{id},Bỏ lưu bài viết thành công,"id hợp lệ của saved_item",200 OK,"Xóa bản ghi saved_items",Medium
167,Article,GET /api/v1/saved-items,Lấy danh sách các bài đã lưu của User,"Token User",200 OK,"Không thay đổi",Medium
168,Article,POST /api/v1/achievements,Thêm thành tích (Achievement) cá nhân,"Token User, Payload hợp lệ",201 Created,"Tạo bản ghi trong achievements",Medium
169,Article,POST /api/v1/achievements,Thêm thành tích thất bại do thiếu tiêu đề,"Bỏ trống title",400 Bad Request,"Không thay đổi",Low
170,Article,PUT /api/v1/achievements/{id},Chỉnh sửa thành tích cá nhân,"id hợp lệ, Token chính chủ",200 OK,"Cập nhật achievements",Medium
171,Chat,GET /api/v1/network/search,Tìm kiếm thành viên trong mạng lưới (Network Search),"keyword=""IT""",200 OK,"Không thay đổi",High
172,Chat,GET /api/v1/network/search,Tìm kiếm thành viên theo khoa/khóa,"faculty=""CNTT"", batch=""2018""",200 OK,"Không thay đổi",High
173,Chat,GET /api/v1/chat/recent,Lấy preview các tin nhắn gần nhất,"Token User",200 OK,"Không thay đổi",Medium
174,Auth,POST /api/v1/auth/refresh,Bảo mật: Ngăn chặn dùng lại Refresh Token cũ (Replay Attack),"refresh_token đã được sử dụng trước đó",401 Unauthorized,"Thu hồi toàn bộ token liên quan",High
175,Auth,POST /api/v1/auth/logout,Đăng xuất thành công,"Token User",200 OK,"Xóa hoặc blacklist Refresh Token hiện tại",High
176,Auth,POST /api/v1/auth/logout,Đăng xuất thất bại do không có token,"Bỏ trống token",401 Unauthorized,"Không thay đổi",Medium
177,User,GET /api/v1/users/me/stats,Lấy thống kê cá nhân (số post, số connection),"Token User",200 OK,"Không thay đổi",Medium
